Name,Start,Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static,Time(ms),nblock,state,exp,,,,
"test(int, int, int)",289171810,151481236,1,1,1,1024,1,1,37,304,6272,151.481236,0,625,,,,,
"test(int, int, int)",292365107,144345803,1,1,1,1024,1,1,37,304,6352,144.345803,1,294,,Average,time(ns),124973304.974868,
"test(int, int, int)",292421201,137833870,1,1,1,1024,1,1,37,304,6352,137.83387,2,298,,var,time(ns),280619874759899,
"test(int, int, int)",292476623,136868047,1,1,1,1024,1,1,37,304,6352,136.868047,3,319,,,,,
"test(int, int, int)",292532045,149157477,1,1,1,1024,1,1,37,304,6352,149.157477,4,332,,Average,time(ms),124.9733049749,
"test(int, int, int)",294840893,142927677,1,1,1,1024,1,1,37,304,6352,142.927677,5,283,,var,time(ms),280.6198747599,
"test(int, int, int)",294895899,146975696,1,1,1,1024,1,1,37,304,6352,146.975696,6,322,,,,,
"test(int, int, int)",294916379,140711145,1,1,1,1024,1,1,37,304,6352,140.711145,7,309,,Average,blocks,310.5059602649,234432
"test(int, int, int)",294950777,145590976,1,1,1,1024,1,1,37,304,6352,145.590976,8,269,,var,blocks,4012.3086514308,
"test(int, int, int)",294957433,134050321,1,1,1,1024,1,1,37,304,6352,134.050321,9,304,,,,,
"test(int, int, int)",294972569,139984130,1,1,1,1024,1,1,37,304,6352,139.98413,10,335,,,,,
"test(int, int, int)",295007287,138926120,1,1,1,1024,1,1,37,304,6352,138.92612,11,290,,,,,
"test(int, int, int)",295013463,147274598,1,1,1,1024,1,1,37,304,6352,147.274598,12,286,,,,,
"test(int, int, int)",442381402,113345087,1,1,1,1024,1,1,37,304,6352,113.345087,13,291,,,,,
"test(int, int, int)",442381498,113848270,1,1,1,1024,1,1,37,304,6352,113.84827,14,280,,,,,
"test(int, int, int)",442381722,128512465,1,1,1,1024,1,1,37,304,6352,128.512465,15,294,,,,,
"test(int, int, int)",442382042,115518996,1,1,1,1024,1,1,37,304,6352,115.518996,16,313,,,,,
"test(int, int, int)",442382138,118265493,1,1,1,1024,1,1,37,304,6352,118.265493,17,281,,,,,
"test(int, int, int)",442382458,112416640,1,1,1,1024,1,1,37,304,6352,112.41664,18,305,,,,,
"test(int, int, int)",442382682,120972919,1,1,1,1024,1,1,37,304,6352,120.972919,19,300,,,,,
"test(int, int, int)",442383002,115318107,1,1,1,1024,1,1,37,304,6352,115.318107,20,276,,,,,
"test(int, int, int)",442383289,117939265,1,1,1,1024,1,1,37,304,6352,117.939265,21,318,,,,,
"test(int, int, int)",442383449,116682188,1,1,1,1024,1,1,37,304,6352,116.682188,22,278,,,,,
"test(int, int, int)",442383577,117850820,1,1,1,1024,1,1,37,304,6352,117.85082,23,333,,,,,
"test(int, int, int)",442383737,119571720,1,1,1,1024,1,1,37,304,6352,119.57172,24,332,,,,,
"test(int, int, int)",442383865,113766322,1,1,1,1024,1,1,37,304,6352,113.766322,25,329,,,,,
"test(int, int, int)",571328860,106368626,1,1,1,1024,1,1,37,304,6352,106.368626,26,284,,,,,
"test(int, int, int)",571328860,108939193,1,1,1,1024,1,1,37,304,6352,108.939193,27,266,,,,,
"test(int, int, int)",571328988,120400650,1,1,1,1024,1,1,37,304,6352,120.40065,28,306,,,,,
"test(int, int, int)",571329660,108733376,1,1,1,1024,1,1,37,304,6352,108.733376,29,324,,,,,
